"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS"	"REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS"	"2/12"	"109/38039"	0.000526990847904404	0.0110448498539965	0.00664131741072509	"10/9"	2
"GO_STEROL_TRANSPORT"	"GO_STEROL_TRANSPORT"	"2/12"	"110/38039"	0.000536655885805663	0.0110933387901472	0.00667047402400118	"20/19"	2
"DOANE_BREAST_CANCER_ESR1_UP"	"DOANE_BREAST_CANCER_ESR1_UP"	"2/12"	"111/38039"	0.000546407022209379	0.0111422729258642	0.00669989833775938	"18/9"	2
"LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN"	"LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN"	"2/12"	"112/38039"	0.000556244210975494	0.0111916335248269	0.00672957908576667	"18/9"	2
"GO_REGULATION_OF_LIPID_TRANSPORT"	"GO_REGULATION_OF_LIPID_TRANSPORT"	"2/12"	"124/38039"	0.000680985787978032	0.0133455526501149	0.00802474024931051	"20/19"	2
"MODULE_152"	"MODULE_152"	"2/12"	"124/38039"	0.000680985787978032	0.0133455526501149	0.00802474024931051	"37/23"	2
"GO_PLATELET_DEGRANULATION"	"GO_PLATELET_DEGRANULATION"	"2/12"	"128/38039"	0.000725304766174063	0.0140318575917521	0.00843741846750394	"12/2"	2
"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2PLUS"	"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2PLUS"	"2/12"	"132/38039"	0.000770988072759451	0.0147268481239748	0.00885531937000195	"12/2"	2
"RB_P107_DN.V1_DN"	"RB_P107_DN.V1_DN"	"2/12"	"133/38039"	0.000782621731982221	0.0147622024195146	0.0088765780653773	"37/12"	2
"KRAS.KIDNEY_UP.V1_DN"	"KRAS.KIDNEY_UP.V1_DN"	"2/12"	"134/38039"	0.00079434043265516	0.0147982680602054	0.00889826449576021	"21/13"	2
"GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGM_BCELL_DN"	"GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGM_BCELL_DN"	"2/12"	"145/38039"	0.00092884579970846	0.0170930281921959	0.010278113983937	"12/10"	2
"GO_BLOOD_MICROPARTICLE"	"GO_BLOOD_MICROPARTICLE"	"2/12"	"147/38039"	0.000954401514273283	0.0173517094582938	0.0104336601814023	"12/2"	2
"GO_LIPID_HOMEOSTASIS"	"GO_LIPID_HOMEOSTASIS"	"2/12"	"149/38039"	0.000980294837976669	0.0176102965536523	0.0105891497535826	"20/19"	2
"GO_REGULATION_OF_LIPID_LOCALIZATION"	"GO_REGULATION_OF_LIPID_LOCALIZATION"	"2/12"	"154/38039"	0.00104650279784569	0.0185785026111665	0.0111713363683342	"20/19"	2
"RORA2_01"	"RORA2_01"	"2/12"	"157/38039"	0.00108723694424374	0.0190772156844629	0.0114712147605643	"19/18"	2
"MTOR_UP.V1_UP"	"MTOR_UP.V1_UP"	"2/12"	"171/38039"	0.00128729962946287	0.0208351462183159	0.0125282662203539	"20/12"	2
"GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD8_TCELL_UP"	"GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD8_TCELL_UP"	"2/12"	"172/38039"	0.001302216145524	0.0208351462183159	0.0125282662203539	"21/10"	2
"GO_TEMPERATURE_HOMEOSTASIS"	"GO_TEMPERATURE_HOMEOSTASIS"	"2/12"	"173/38039"	0.00131721593045091	0.0208351462183159	0.0125282662203539	"37/18"	2
"SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN"	"SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN"	"2/12"	"174/38039"	0.00133229893911848	0.0208351462183159	0.0125282662203539	"13/12"	2
"GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN"	"GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN"	"2/12"	"177/38039"	0.00137804685655706	0.0208351462183159	0.0125282662203539	"21/12"	2
"REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS"	"REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS"	"2/12"	"177/38039"	0.00137804685655706	0.0208351462183159	0.0125282662203539	"21/19"	2
"GO_ENDOPEPTIDASE_REGULATOR_ACTIVITY"	"GO_ENDOPEPTIDASE_REGULATOR_ACTIVITY"	"2/12"	"180/38039"	0.00142454216471367	0.0208351462183159	0.0125282662203539	"12/2"	2
"GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_DN"	"GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_DN"	"2/12"	"185/38039"	0.00150369191178751	0.0208351462183159	0.0125282662203539	"21/9"	2
"ATF2_UP.V1_DN"	"ATF2_UP.V1_DN"	"2/12"	"186/38039"	0.00151977009148346	0.0208351462183159	0.0125282662203539	"13/12"	2
"GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_UP"	"GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_UP"	"2/12"	"191/38039"	0.00160139967106714	0.0208351462183159	0.0125282662203539	"20/19"	2
"KRAS.DF.V1_UP"	"KRAS.DF.V1_UP"	"2/12"	"191/38039"	0.00160139967106714	0.0208351462183159	0.0125282662203539	"37/9"	2
"GSE3982_EFF_MEMORY_VS_CENT_MEMORY_CD4_TCELL_UP"	"GSE3982_EFF_MEMORY_VS_CENT_MEMORY_CD4_TCELL_UP"	"2/12"	"194/38039"	0.00165136674881166	0.0208351462183159	0.0125282662203539	"37/21"	2
"RAF_UP.V1_DN"	"RAF_UP.V1_DN"	"2/12"	"194/38039"	0.00165136674881166	0.0208351462183159	0.0125282662203539	"18/12"	2
"GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN"	"GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN"	"2/12"	"195/38039"	0.0016681870608196	0.0208351462183159	0.0125282662203539	"23/19"	2
"GSE23321_CENTRAL_MEMORY_VS_NAIVE_CD8_TCELL_DN"	"GSE23321_CENTRAL_MEMORY_VS_NAIVE_CD8_TCELL_DN"	"2/12"	"197/38039"	0.00170207434533537	0.0208351462183159	0.0125282662203539	"20/10"	2
"GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_DN"	"GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_DN"	"2/12"	"197/38039"	0.00170207434533537	0.0208351462183159	0.0125282662203539	"20/2"	2
"GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP"	"GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP"	"2/12"	"198/38039"	0.00171914122835307	0.0208351462183159	0.0125282662203539	"23/13"	2
"GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN"	"GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN"	"2/12"	"198/38039"	0.00171914122835307	0.0208351462183159	0.0125282662203539	"37/20"	2
"GSE22611_NOD2_VS_CTRL_TRANSDUCED_HEK293T_CELL_DN"	"GSE22611_NOD2_VS_CTRL_TRANSDUCED_HEK293T_CELL_DN"	"2/12"	"199/38039"	0.00173629021224407	0.0208351462183159	0.0125282662203539	"23/13"	2
"GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_UP"	"GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_UP"	"2/12"	"199/38039"	0.00173629021224407	0.0208351462183159	0.0125282662203539	"20/19"	2
"GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP"	"GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP"	"2/12"	"199/38039"	0.00173629021224407	0.0208351462183159	0.0125282662203539	"21/19"	2
"GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN"	"GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN"	"2/12"	"199/38039"	0.00173629021224407	0.0208351462183159	0.0125282662203539	"20/19"	2
"GSE7548_NAIVE_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_UP"	"GSE7548_NAIVE_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_UP"	"2/12"	"199/38039"	0.00173629021224407	0.0208351462183159	0.0125282662203539	"37/18"	2
"GSE14350_IL2RB_KO_VS_WT_TEFF_UP"	"GSE14350_IL2RB_KO_VS_WT_TEFF_UP"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"37/21"	2
"GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_DN"	"GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_DN"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"23/21"	2
"GSE17721_0.5H_VS_4H_CPG_BMDC_DN"	"GSE17721_0.5H_VS_4H_CPG_BMDC_DN"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"19/9"	2
"GSE17721_CPG_VS_GARDIQUIMOD_4H_BMDC_UP"	"GSE17721_CPG_VS_GARDIQUIMOD_4H_BMDC_UP"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"23/9"	2
"GSE17721_CTRL_VS_CPG_4H_BMDC_UP"	"GSE17721_CTRL_VS_CPG_4H_BMDC_UP"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"37/23"	2
"GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_FETAL_UP"	"GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_FETAL_UP"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"21/19"	2
"GSE24726_WT_VS_E2_2_KO_PDC_DN"	"GSE24726_WT_VS_E2_2_KO_PDC_DN"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"21/19"	2
"GSE26488_HDAC7_KO_VS_VP16_TRANSGENIC_HDAC7_KO_DOUBLE_POSITIVE_THYMOCYTE_DN"	"GSE26488_HDAC7_KO_VS_VP16_TRANSGENIC_HDAC7_KO_DOUBLE_POSITIVE_THYMOCYTE_DN"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"10/9"	2
"GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_UP"	"GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_UP"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"9/2"	2
"GSE33424_CD161_HIGH_VS_NEG_CD8_TCELL_UP"	"GSE33424_CD161_HIGH_VS_NEG_CD8_TCELL_UP"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"19/9"	2
"GSE36826_NORMAL_VS_STAPH_AUREUS_INF_SKIN_DN"	"GSE36826_NORMAL_VS_STAPH_AUREUS_INF_SKIN_DN"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"20/19"	2
"GSE37301_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_RAG2_KO_NK_CELL_DN"	"GSE37301_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_RAG2_KO_NK_CELL_DN"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"19/2"	2
"GSE37301_MULTIPOTENT_PROGENITOR_VS_RAG2_KO_NK_CELL_DN"	"GSE37301_MULTIPOTENT_PROGENITOR_VS_RAG2_KO_NK_CELL_DN"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"19/12"	2
"GSE37301_RAG2_KO_VS_RAG2_AND_ETS1_KO_NK_CELL_UP"	"GSE37301_RAG2_KO_VS_RAG2_AND_ETS1_KO_NK_CELL_UP"	"2/12"	"200/38039"	0.00175352125230359	0.0208351462183159	0.0125282662203539	"19/2"	2
