Trait	Diff	p.val	p.adj
Celiac disease or Rheumatoid arthritis	0.096757852077001	3.50396009157597e-08	5.5712965456058e-05
Nonalcoholic fatty liver disease	0.0958037825059102	3.71205733838564e-07	0.000562376686765424
Acute-on-chronic liver failure in hepatitis B	0.0957446808510638	0.0327641421744708	1
GIP levels in response to oral glucose tolerance test fasting	0.0957446808510638	0.000218179911384292	0.261597713749766
Cough in response to angiotensin-converting enzyme inhibitor drugs	0.0957446808510638	0.00757021573125653	1
Amyotrophic lateral sclerosis sporadic	0.0957446808510638	0.00184224863929193	1
Suicide attempts	0.0951101763111842	3.83274427202572e-10	6.50033428535562e-07
Puberty onset breast development	0.0930851063829788	0.00425056388704453	1
Blond vs. brown hair color	0.0930851063829787	9.62948625525042e-06	0.0132405436009693
Spontaneous dizygotic twinning	0.0930851063829787	0.000174355788999886	0.211493572056862
Response to Vitamin E supplementation	0.0930851063829787	9.58107213133677e-06	0.0131835552527194
Pediatric bone mineral density hip	0.0929078014184397	1.19856657501026e-11	2.11187430516808e-08
Methotrexate phramacokinetics acute lymphoblastic leukemia	0.0924046139545779	1.76033614222424e-23	3.3552006870794e-20
Postprandial triglyceride response to high fat diet meal	0.0913120567375887	9.28291431030507e-05	0.115572283163298
Systolic blood pressure in sickle cell anemia	0.0909848868625465	2.27510557074789e-10	3.88815542040814e-07
Heart rate variability traits RMSSD	0.0904761904761905	2.76688882524192e-07	0.000423610679144537
Adolescent idiopathic scoliosis severe	0.0904255319148936	0.00294647960834275	1
B cell acute lymphoblastic leukaemia hyperdiploid negative	0.0904255319148936	4.74229860270163e-05	0.0616973048211482
B cell acute lymphoblastic leukaemia normal cytogenetics	0.0904255319148936	4.74229860270163e-05	0.0616973048211482
B cell acute lymphoblastic leukaemia Philadelphia chromosome negative	0.0904255319148936	4.74229860270163e-05	0.0616973048211482
Gout in chronic kidney disease	0.0904255319148936	0.00105581124323865	1
Myopia severe	0.0904255319148936	0.0112280592386457	1
Rheumatoid arthritis ACPA-negative	0.0904255319148936	0.0371165136097687	1
Renal function-related traits BUN	0.0902519466349254	5.05306901255569e-11	8.80749928888457e-08
Optic nerve measurement rim area	0.0902482269503546	2.01257049017374e-07	0.000309734598437738
Hematology traits	0.0898667526327101	2.76991076108678e-15	5.11602517572729e-12
Serum tamsulosin hydrochloride concentration	0.0895390070921985	1.5032442067822e-07	0.000232100905527172
Arthritis juvenile idiopathic	0.0893617021276596	1.75745408010613e-10	3.0122762933019e-07
Hair shape	0.0892287234042553	2.8223356941268e-13	5.09149359220475e-10
Osteoporosis-related phenotypes	0.0891843971631205	1.35504583425681e-07	0.000209761095142955
Basal cell carcinoma	0.0889567120876732	8.91533626211031e-19	1.68589008716506e-15
Alcohol consumption	0.0882196925415011	3.17162795371803e-11	5.54400566309912e-08
Autoimmune thyroid diseases Graves disease or Hashimoto's thyroiditis	0.0877659574468086	8.26449639239754e-08	0.000129669948396717
Coronary artery disease or large artery stroke	0.0877659574468085	0.00542515325727533	1
Lung function forced expiratory volume in 1 second	0.0877659574468085	0.014607255474616	1
Palmitic acid 16:0 levels	0.0875053728777133	2.67127272800252e-11	4.67739854673242e-08
Waist-to-hip ratio adjusted for BMI x sex interaction	0.0872424378697306	5.01845477083793e-17	9.38451042146693e-14
Cardiovascular disease risk factors	0.0869922630560929	6.30120383343586e-10	1.06049260516726e-06
DNA methylation parent-of-origin	0.0868794326241136	3.7287702296441e-06	0.0052762098749464
Hippocampal volume in Alzheimer's disease dementia	0.086436170212766	4.81989383618963e-09	7.91908557285956e-06
Event-related brain oscillations	0.0859929078014185	1.98638326854504e-08	3.19211791255188e-05
Plasma omega-6 polyunsaturated fatty acid levels adrenic acid	0.0859929078014184	0.000953963022430042	1
Cannabis use	0.0853871158392435	6.24192170637412e-10	1.0511396153534e-06
Circulating myeloperoxidase levels plasma	0.0851063829787234	0.00293791570453904	1
Gout vs. Hyperuricemia	0.0851063829787234	0.00234046964582776	1
Language performance in older adults adjusted for episodic memory	0.0851063829787234	0.00268024458170822	1
Obstructive sleep apnea trait average respiratory event duration	0.0851063829787234	9.64035697034156e-07	0.00142291668882241
Taxane-induced peripheral neuropathy in breast cancer	0.0851063829787233	0.000344470346045667	0.400619012451111
Thyroid peroxidase antibody positivity	0.0847369976359337	3.62814487418548e-07	0.000550026762926519
Asthma moderate or severe	0.0846373123533075	1.47987902701891e-18	2.79105184495766e-15
Urinary albumin-to-creatinine ratio	0.0845422308188266	4.17020351190803e-11	7.27700512827951e-08
Common carotid intima-media thickness	0.0845301418439716	2.62272790174457e-09	4.33799194948552e-06
Empathy quotient	0.0835106382978724	1.19943124058831e-05	0.0162762819347833
IgE levels	0.0826926176660219	7.27398851147157e-12	1.28385897227473e-08
Severity of facial solar lentigines	0.0824468085106383	3.10087147318565e-05	0.0408694860165869
Branched-chain amino acid levels Leucine	0.0824468085106383	0.011274721461669	1
Branched-chain amino acid levels Valine	0.0824468085106383	0.011274721461669	1
Aging time to event	0.0821175278622087	3.25689511915385e-07	0.000496350816159047
Current cigarettes per day in chronic obstructive pulmonary disease	0.0817819148936172	1.91203424280977e-09	3.17206480882141e-06
Late-onset myasthenia gravis	0.0808700607902735	1.17826145719876e-06	0.00172615303479618
Lipoprotein-associated phospholipase A2 activity change in response to statin therapy	0.0808510638297872	6.53761621615746e-07	0.000976066101072309
Response to angiotensin II receptor blocker therapy opposite direction w-over- diuretic therapy	0.0806737588652481	0.00348656020034539	1
Facial morphology factor 12, vertical position of sublabial sulcus relative to central midface	0.0803508105369807	1.84116324101748e-06	0.00266232204651128
Response to alcohol consumption flushing response	0.0797872340425533	0.000678231444316151	0.758262754745457
Serum magnesium levels	0.0797872340425532	0.119572821979874	1
Midgestational cytokine-over-chemokine levels maternal genetic effect	0.0797872340425532	0.00184643282934736	1
Gamma glutamyl transferase levels	0.0797872340425531	3.00803138524389e-06	0.00427441259843156
Emphysema-related traits	0.0797872340425531	7.75172596338218e-07	0.00114958096036958
Waist-to-hip circumference ratio ever vs never smoking interaction	0.0789007092198581	0.00183035981711347	1
Upper eyelid morphology	0.0787234042553192	3.32812711141737e-06	0.00471595611687841
Frontotemporal dementia	0.0784923705136472	9.14387005518528e-08	0.000143284443764753
Plasma thyroid-stimulating hormone levels	0.0784574468085106	5.85806914806045e-05	0.0749832850951737
Renal function-related traits eGRFcrea	0.0784574468085106	1.08794965731576e-06	0.00159928599625417
Prostate cancer advanced	0.0781162690737158	1.92604795693747e-09	3.19338751260233e-06
Chronic hepatitis B infection	0.0776112185686654	6.85189309208301e-13	1.22922962071969e-09
Caffeine metabolism plasma 1,3-dimethylxanthine theophylline level	0.0771276595744681	1.39313873730589e-07	0.00021537924878749
Severity of nausea and vomiting of pregnancy	0.0770390070921985	1.36742453049975e-05	0.0184192084258316
Body mass index SNP x SNP interaction	0.077001013171226	4.7705448767856e-06	0.00671215664163733
Serum metabolite levels	0.075886524822695	9.78696989267673e-05	0.121456296368118
Anterior cruciate ligament rupture	0.075354609929078	4.02139285938169e-07	0.000608034600338512
Myocardial infarction early onset	0.0751329787234043	2.13319885743337e-07	0.000328085984273252
Opioid sensitivity	0.074468085106383	0.096251758575954	1
Parkinson's disease familial	0.074468085106383	0.000260992085758237	0.308753637451995
Creutzfeldt-Jakob disease sporadic	0.074468085106383	0.00526862872501424	1
Diabetic macular edema in type 2 diabetes	0.074468085106383	0.0154182431881442	1
HbA2 levels	0.074468085106383	0.00873697948742594	1
Pulmonary artery enlargement in chronic obstructive pulmonary disease	0.074468085106383	0.00446390291808779	1
Cirrhosis alcohol related	0.0744680851063829	0.00148225769702329	1
Lobe attachment	0.0744680851063829	0.00151161365441884	1
Pediatric bone mineral content femoral neck	0.0738538500506585	9.38374968350071e-06	0.0129401908135475
Pediatric autoimmune diseases	0.0734157440215184	3.76199299560633e-17	7.03868889477944e-14
Parental longevity father's age at death	0.0731382978723404	3.01582824136481e-05	0.0397787745036018
Suicidal ideation	0.072853288401392	0.00484241739939641	1
Triglycerides-Blood Pressure TG-BP	0.072695035460993	1.10628505201643e-08	1.80213834973476e-05
Attention deficit hyperactivity disorder time to onset	0.0726654846335698	1.66940371960308e-07	0.000257588993934755
Pediatric non-alcoholic fatty liver disease activity score	0.0723404255319149	0.000299024663870903	0.350456906056698
Osteoarthritis of the knee hospital diagnosed	0.0722517730496455	4.98868865055936e-06	0.00700910755403591
Renal function-related traits sCR	0.0721631205673759	0.000131430882655971	0.161002831253565
Caffeine metabolism plasma 1,7-dimethylxanthine paraxanthine to 1,3,7-trimethylxanthine caffeine ratio	0.0710321410704541	2.57539117537626e-15	4.75932289209533e-12
Inhibitory control	0.0704787234042553	5.56670284235221e-08	8.79539049091649e-05
Global electrical heterogeneity phenotypes	0.0693895643363729	0.000586881736299287	0.662002598545596
Body mass index dietary energy interaction	0.0691489361702128	0.160624363058733	1
Job-related exhaustion	0.0691489361702128	0.0260057614422887	1
Osteoarthritis biomarkers	0.0691489361702128	0.00740303919017218	1
Waist-to-hip circumference ratio alcohol intake interaction	0.0691489361702128	0.00533073768533023	1
Coronary spasm	0.0691489361702127	0.0352588445800372	1
Obstructive sleep apnea trait apnea hypopnea index	0.068955512572534	6.57075288818196e-12	1.16236618591939e-08
Primary tooth development number of teeth	0.0683458489778891	1.15718676761838e-14	2.1211233450445e-11
Keloid	0.0682624113475177	0.00284940403914693	1
Barrett's esophagus x pack-years of smoking exposure interaction	0.0682624113475175	5.50468394509466e-05	0.0707351886944664
Facial morphology factor 23	0.068234971293482	2.18605916318406e-06	0.00313517233443013
Nasopharyngeal carcinoma	0.0680851063829788	5.70510405634468e-08	9.00835930496825e-05
Alcohol consumption in current drinkers	0.0680091185410334	7.08871364993967e-07	0.00105550946247602
Fear of severe pain	0.0679331306990881	2.59262012846423e-06	0.00369448368306153
Melanoma	0.0675209542230819	5.75001278880367e-08	9.0735201807322e-05
HIV-associated dementia	0.0673758865248227	2.73845609282245e-05	0.036229774108041
Dehydroepiandrosterone sulphate levels	0.067354778790949	7.18440881939446e-07	0.0010690400323259
Body mass index in physically active individuals	0.0671108973089898	6.46267144445446e-12	1.14389284566844e-08
Periodontitis DPAL	0.0669863528906082	1.288787769602e-07	0.00019976210428831
Systolic blood pressure response to hydrochlorothiazide in hypertension	0.0667700945626478	4.43695547916389e-09	7.2987917632246e-06
Helix rolling	0.0664893617021277	0.00080930684113702	0.89347475261527
Plantar warts	0.0664893617021277	0.0623259691571126	1
Breast cancer and-over-or colorectal cancer	0.066210739614995	0.000140753742613896	0.171860319731567
Vitamin B levels in ischemic stroke	0.0660334346504559	7.25112061694258e-05	0.0917991870104931
Gut microbiota bacterial taxa	0.0659506136484669	1.52056164134933e-12	2.7157230914499e-09
Digit length ratio right hand	0.0656344984802432	8.47868743029485e-06	0.0117175460286675
Self-reported risk-taking behaviour	0.0656028368794326	0.0206091208653271	1
Suicide	0.0656028368794326	0.00195085067763058	1
Atrioventricular conduction	0.0654255319148936	0.00419514531549881	1
Excessive daytime sleepiness	0.0648049645390071	0.000361415073866423	0.418880070611184
Obstructive sleep apnea during REM sleep apnea hypopnea index	0.0647163120567376	3.00862270832935e-06	0.00427441259843156
Cotinine glucuronidation	0.0647057581898008	9.69839682991165e-08	0.000151682926419818
Fat body mass	0.0638297872340426	0.0472501899628829	1
Non-small cell lung cancer recurrence rate	0.0638297872340426	0.0417110332612278	1
Aging time to death	0.0638297872340425	0.0433307211501984	1
Hypersomnia HLA-DQB1*06:02 negative	0.0634751773049645	0.000594923630690892	0.670022126687249
Response to antipsychotic treatment	0.0631965552178318	6.55931317679797e-05	0.0836968361359421
High altitude adaptation	0.0630129179331307	6.54861827029749e-06	0.0091222252505244
Esophageal cancer	0.0628862715298886	3.27407469726915e-07	0.000498641576394092
Logical memory delayed recall	0.0620567375886524	0.0144639308416536	1
Optic nerve measurement cup area	0.0618034447821681	0.00195826413199911	1
Accelerometer-based physical activity measurement fraction of time with accelerations >425 milli-gravities	0.0611702127659575	0.0972134299215356	1
Excessive sweating	0.0611702127659575	0.0443982707598565	1
Menstruation quality of life impact joint pain	0.0611702127659575	0.0113716636603809	1
Non-alcoholic fatty liver disease histology other	0.0610576588791546	2.82035642041665e-13	5.09074333885205e-10
Estrone-over-androstenedione ratio in resected early stage-receptor positive breast cancer	0.0609499247797121	2.38771205654542e-06	0.00341442824085995
Total body bone mineral density age over 60	0.0609359169199594	1.75081155843419e-08	2.82580985531278e-05
Aortic valve stenosis	0.0609042553191489	0.00426713051931188	1
Preschool internalizing problems	0.0603454760369653	6.92514107404938e-09	1.13226056560707e-05
Subjective response to lithium treatment	0.0602836879432624	0.0274313874196625	1
Waldenström macroglobulinemia -over- lymphoplasmacytic lymphoma	0.0602836879432624	0.000126302406075075	0.155225657066267
Alzheimer's disease	0.0599407684514067	5.42177629665554e-07	0.000812182089239001
Word reading	0.0598150962512665	0.000223232694280837	0.266986302359881
Intelligence childhood	0.0597517730496453	0.00114058935861359	1
Adverse response to chemotherapy neutropenia-over-leucopenia gemcitabine	0.0595744680851064	2.88195800811776e-05	0.0380706652872356
Pediatric bone mineral density femoral neck	0.0595536555642938	7.5917697493404e-07	0.00112661863080211
Myopia pathological	0.0594414893617021	0.000373893478125613	0.431846967235083
Hair color	0.0589929573972127	6.44586525702772e-08	0.000101586836450757
C-reactive protein levels or HDL-cholesterol levels pleiotropy	0.0587955927051672	2.71101537103766e-08	4.33762459366026e-05
Self-reported allergy	0.0585506461498698	1.74293513307922e-10	2.98913375323085e-07
Early childhood aggressive behavior	0.0585106382978725	0.023145491049876	1
Longevity 85 years and older	0.0585106382978724	0.0927681520573027	1
Dysphagia	0.0585106382978723	0.00310430075490002	1
Peak velocity of the mitral A-wave	0.0585106382978723	0.0795418393861805	1
Puberty onset	0.0585106382978723	0.0720959238741804	1
Staphylococcus aureus nasal carriage persistent	0.0585106382978723	0.00591077783395648	1
Hyperuricemia	0.0585106382978723	0.000613063865648414	0.689696848854466
Logical memory immediate recall	0.0585106382978723	0.0139530913501047	1
Response to lithium treatment in bipolar disorder	0.0584789766970618	7.78469483315051e-05	0.098009307949365
Spherical equivalent	0.0583885366220193	9.89830380967457e-07	0.00145900998154603
Endometrial cancer endometrioid histology	0.0582712927682862	2.30573976582633e-11	4.0465732890252e-08
Alzheimer's disease in APOE e4- carriers	0.0580673758865248	0.00433718102398291	1
Permanent tooth development	0.0580673758865248	0.00613787136370385	1
Retinal vascular caliber	0.0576241134751774	0.00316384316931486	1
Chronic periodontitis mean interproximal clinical attachment level	0.0576241134751773	7.70414046143868e-05	0.0970721698141274
Economic and political preferences environmentalism	0.057537309113498	6.54523984487142e-07	0.000976549784854816
Menstruation quality of life impact bowel movement	0.0574468085106383	0.00371455869661088	1
White blood cell count eosinophil	0.0570035460992908	0.000827054260366564	0.908932632142854
Autism spectrum disorder or schizophrenia	0.0569963130278031	7.22481390885639e-18	1.358265014865e-14
Serum vitamin D-binding protein levels	0.0567375886524823	3.2031470918529e-05	0.0421854471997026
Depressive symptoms stressful life events interaction	0.0567375886524823	0.00649265539121855	1
Age-related macular degeneration choroidal neovascularisation	0.0567375886524822	0.018497778967958	1
Age-related macular degeneration geographic atrophy	0.0567375886524822	0.018497778967958	1
Cerebrospinal fluid t-tau levels in normal cognition	0.0566489361702128	0.000116796382765515	0.144126736332645
Homeostasis model assessment of beta-cell function	0.0566109422492401	0.000448460363207093	0.5121417347825
Waist-hip ratio	0.056317352859906	9.35883708150887e-09	1.52549044428595e-05
Waist-to-hip ratio adjusted for BMI in inactive individuals	0.0562943262411348	0.0125008898854258	1
Graves' disease	0.0561383887979631	3.56448681654588e-10	6.0524986144949e-07
Neurocognitive impairment in HIV-1 infection continuous	0.0561170212765958	9.54183212943179e-07	0.00140932860551708
Plasma omega-3 polyunsaturated fatty acid levels docosahexaenoic acid	0.05597283921752	3.54733310202492e-07	0.000538485164887383
Verbal memory performance residualized delayed recall change	0.0558510638297872	1.37600682938485e-07	0.000212868256505837
Insulin-related traits	0.0558510638297872	0.0050512036235451	1
